realtime_start,realtime_end,value,date
2018-12-12,2018-12-12,48631,2010-09-01
2018-12-12,2018-12-12,48575,2010-10-01
2018-12-12,2018-12-12,49136,2010-11-01
2018-12-12,2018-12-12,49157,2010-12-01
2018-12-12,2018-12-12,49682,2011-01-01
2018-12-12,2018-12-12,50070,2011-02-01
2018-12-12,2018-12-12,50075,2011-03-01
2018-12-12,2018-12-12,50805,2011-04-01
2018-12-12,2018-12-12,50427,2011-05-01
2018-12-12,2018-12-12,50940,2011-06-01
2018-12-12,2018-12-12,50948,2011-07-01
2018-12-12,2018-12-12,51177,2011-08-01
2018-12-12,2018-12-12,51047,2011-09-01
2018-12-12,2018-12-12,51334,2011-10-01
2018-12-12,2018-12-12,51435,2011-11-01
2018-12-12,2018-12-12,51185,2011-12-01
2018-12-12,2018-12-12,51540,2012-01-01
2018-12-12,2018-12-12,51662,2012-02-01
2018-12-12,2018-12-12,52112,2012-03-01
2018-12-12,2018-12-12,52299,2012-04-01
2018-12-12,2018-12-12,52284,2012-05-01
2018-12-12,2018-12-12,52212,2012-06-01
2018-12-12,2018-12-12,52276,2012-07-01
2018-12-12,2018-12-12,52295,2012-08-01
2018-12-12,2018-12-12,52506,2012-09-01
2018-12-12,2018-12-12,52860,2012-10-01
2018-12-12,2018-12-12,52750,2012-11-01
2018-12-12,2018-12-12,52593,2012-12-01
2018-12-12,2018-12-12,52700,2013-01-01
2018-12-12,2018-12-12,53260,2013-02-01
2018-12-12,2018-12-12,53033,2013-03-01
2018-12-12,2018-12-12,52731,2013-04-01
2018-12-12,2018-12-12,53148,2013-05-01
2018-12-12,2018-12-12,53166,2013-06-01
2018-12-12,2018-12-12,53553,2013-07-01
2018-12-12,2018-12-12,53613,2013-08-01
2018-12-12,2018-12-12,53746,2013-09-01
2018-12-12,2018-12-12,53867,2013-10-01
2018-12-12,2018-12-12,53870,2013-11-01
2018-12-12,2018-12-12,54582,2013-12-01
2018-12-12,2018-12-12,54716,2014-01-01
2018-12-12,2018-12-12,54735,2014-02-01
2018-12-12,2018-12-12,54814,2014-03-01
2018-12-12,2018-12-12,55192,2014-04-01
2018-12-12,2018-12-12,55322,2014-05-01
2018-12-12,2018-12-12,55860,2014-06-01
2018-12-12,2018-12-12,56040,2014-07-01
2018-12-12,2018-12-12,56177,2014-08-01
2018-12-12,2018-12-12,56351,2014-09-01
2018-12-12,2018-12-12,56568,2014-10-01
2018-12-12,2018-12-12,56601,2014-11-01
2018-12-12,2018-12-12,56942,2014-12-01
2018-12-12,2018-12-12,56930,2015-01-01
2018-12-12,2018-12-12,56969,2015-02-01
2018-12-12,2018-12-12,56957,2015-03-01
2018-12-12,2018-12-12,56902,2015-04-01
2018-12-12,2018-12-12,56947,2015-05-01
2018-12-12,2018-12-12,57152,2015-06-01
2018-12-12,2018-12-12,57364,2015-07-01
2018-12-12,2018-12-12,57366,2015-08-01
2018-12-12,2018-12-12,57253,2015-09-01
2018-12-12,2018-12-12,57028,2015-10-01
2018-12-12,2018-12-12,57458,2015-11-01
2018-12-12,2018-12-12,57365,2015-12-01
2018-12-12,2018-12-12,57630,2016-01-01
2018-12-12,2018-12-12,57692,2016-02-01
2018-12-12,2018-12-12,57235,2016-03-01
2018-12-12,2018-12-12,57946,2016-04-01
2018-12-12,2018-12-12,58197,2016-05-01
2018-12-12,2018-12-12,58415,2016-06-01
2018-12-12,2018-12-12,58193,2016-07-01
2018-12-12,2018-12-12,58333,2016-08-01
2018-12-12,2018-12-12,58544,2016-09-01
2018-12-12,2018-12-12,58809,2016-10-01
2018-12-12,2018-12-12,58833,2016-11-01
2018-12-12,2018-12-12,58750,2016-12-01
2018-12-12,2018-12-12,59007,2017-01-01
2018-12-12,2018-12-12,59084,2017-02-01
2018-12-12,2018-12-12,59434,2017-03-01
2018-12-12,2018-12-12,59525,2017-04-01
2018-12-12,2018-12-12,59597,2017-05-01
2018-12-12,2018-12-12,59474,2017-06-01
2018-12-12,2018-12-12,59504,2017-07-01
2018-12-12,2018-12-12,59801,2017-08-01
2018-12-12,2018-12-12,60329,2017-09-01
2018-12-12,2018-12-12,60651,2017-10-01
2018-12-12,2018-12-12,60862,2017-11-01
2018-12-12,2018-12-12,61261,2017-12-01
2018-12-12,2018-12-12,61145,2018-01-01
2018-12-12,2018-12-12,61297,2018-02-01
2018-12-12,2018-12-12,61523,2018-03-01
2018-12-12,2018-12-12,61791,2018-04-01
2018-12-12,2018-12-12,61882,2018-05-01
2018-12-12,2018-12-12,61810,2018-06-01
2018-12-12,2018-12-12,62226,2018-07-01
2018-12-12,2018-12-12,62114,2018-08-01
2018-12-12,2018-12-12,62333,2018-09-01
2018-12-12,2018-12-12,62489,2018-10-01
